"Food","Portion_g","Usual_Score","Cost_USD_per_100g"
"Preparation glucose powder",10,2,1.00
"Preparation ORS Orisel-Junior p 100 ml Nutricia",100,1,1.50
"Preparation ORS Orisel p 100 ml Nutricia",100,1,1.50
"Passion fruit",30,4,2.00
"Kefir",200,5,0.35
"Dandelion leaves raw",50,1,1.50
"Lychees",50,4,1.20
"Pate vegetarian based on nutritional yeast",30,4,1.50
"Peas chick boiled",150,7,0.30
"Salmon smoked",50,8,3.50
"Caviar",15,1,20.00
"Squid raw",100,4,1.50
"Kumquat",30,2,1.50
"Herring pickled (sweet)sour",100,6,1.20
"Snails",50,1,3.00
"Cheese smoked 45+",30,6,1.50
"Melon water",150,7,0.40
"Melon honeydew",150,6,0.45
"Cheese Rambol",30,3,2.00
"Cheese spread 60+ Kiri",15,5,1.20
"Cheese Stilton",30,3,2.50
"Cheese Camembert 30+",30,4,1.50
"Cheese raw milk 48+",30,6,1.80
"Cheese 48+ low sodium",30,3,1.50
"Melon in syrup canned",100,3,0.60
"Peas extra fine low sodium tinned",150,3,0.50
"Juice lemon fresh",15,7,0.50
"Juice tomato/vegetable",200,4,0.30
"Mushroom low sodium tinned",100,2,0.50
"Berenburg herb liquor",35,4,2.00
"Endive frozen unprepared",200,5,0.35
"Peas and carrots frozen unprepared",150,6,0.30
"Vegetable mixed Mexico frozen unprepared",150,6,0.40
"Beans runner frozen unprepared",150,4,0.40
"Vegetables mixture for soup frozen unprepared",150,7,0.35
"Spinach cut frozen unprepared",200,7,0.35
"Brussel sprouts frozen boiled",200,6,0.40
"Beans broad frozen unprepared",150,4,0.40
"Potatoes slices/parts frozen unprepared",150,8,0.25
"Processed meat products >30 g fat av",30,6,1.50
"Sausage salami",30,8,1.20
"Meatloaf (processed meat product)",30,6,1.00
"Juice tomato/vegetable low sodium",200,2,0.35
"Gherkins sweet pickled low sodium",30,2,0.60
"Onion silver-skin sweet pickled low sodium glass",30,2,0.70
"Onion silverskin sweet pickled wo sugar glass",30,3,0.70
"Gherkins pickled wo sugar",30,4,0.60
"Cucumber sliced pickled glass",30,5,0.50
"Sausage cooked",30,7,1.00
"Processed meat products 20-30 g fat av",30,8,1.20
"Processed meat products 10-20 g fat av",30,7,1.20
"Apple sauce wo sugar tinned",150,6,0.35
"Bamboo shoots tinned",50,4,0.80
"Processed meat products <10 g fat av",30,7,1.50
"Salt low sodium LoSalt",2,4,0.40
"Soy sauce salt Ketjap",15,8,0.60
"Soy sauce sweet low sodium Ketjap",15,4,0.70
"Soy sauce sweet Ketjap",15,9,0.60
"Monosodium glutamate Ve-tsin",2,5,0.80
"Basil dried",1,7,4.00
"Chilli powder",1,8,3.00
"Curry powder djawa",2,7,3.00
"Chervil dried",1,2,4.00
"Pepper red cayenne",1,7,3.50
"Marjoram dried",1,4,4.00
"Mustard low sodium",10,2,0.60
"Oregano dried",1,8,4.00
"Paprika powder",1,9,3.00
"Parsley dried",1,7,4.00
"Rosemary dried",1,6,4.00
"Pepper red hot paste",10,8,0.80
"Pepper red hot paste low sodium",10,3,0.90
"Pepper red hot fried paste",10,6,1.00
"Celery leaves fresh",5,5,1.50
"Lemon grass powder",1,4,5.00
"Liver sausage coarse hausmacher",30,6,1.00
"Liver pate sausage",30,7,1.20
"Fruit in own juice tinned",100,6,0.50
"Crispbread high fibre",20,7,0.80
"Mackerel in water tinned",100,4,1.20
"Marzipan",30,5,1.50
"Mayonnaise product w yoghurt",20,6,0.60
"Infant formula Nutrilon 1 p 100 ml",100,1,0.50
"Infant food meal 6 months",150,1,1.20
"Infant food meal 15 months",200,1,1.20
"Infant food fruit 4 months",100,1,1.50
"Infant food vegetables 4 months",100,1,1.50
"Fruit drink w dairy Taksi w sugar",200,6,0.25
"Bacon fat smoked prepared",30,6,1.50
"Cheese cream soft Paturain",30,7,1.50
"Chicken wo skin raw",150,9,1.00
"Chicken for soup w skin raw",150,6,0.80
"Plaice fillet fried/simmered",125,6,2.20
"Chocolate sprinkles av",15,9,0.80
"Crispbread Cracottes naturel",20,7,1.00
"Egg whole chicken fried in margarine",50,8,0.50
"Cod fillet fried/simmered",125,7,2.50
"Chicken wo skin grilled",125,8,1.20
"Biscuit Liga Haverkick",30,5,1.00
"Minced beef/pork shallow fried",100,9,1.20
"Breakfast cereal porridge Olvarit tarwe en rogge 8+ months",30,1,1.50
"Biscuit Liga Evergreen assortment",30,7,1.00
"Wheat bread white Turkish",70,7,0.40
"Turkish Delight",30,4,1.50
"Baklava nut-honey cake",50,5,2.00
"tulumba tatlisi fried eclair Turkish",50,3,1.80
"Sausage dry sucuk Turkish",30,6,1.50
"Sausage salam Turkish",30,4,1.20
"Chick peas roasted leblebi Turkish",30,3,1.00
"Grape leaves glass",50,3,1.20
"Vegetables pickled Turkish Tursu",50,4,0.80
"Minced beef kofte Turkish prepared",100,6,1.50
"Minced mutton prepared Kofte Turkish",100,4,1.80
"Vegetable dish w meat turlu Turkish prep",200,3,1.00
"Dessert soya fortified w calcium and vitamins",150,5,0.60
"Drink soya w sugar fortified w calcium and vitamins",200,6,0.30
"Cheese 30+ av",30,7,1.20
"Liquorice Dutch type av",30,9,0.80
"Minced beef ball prepared w egg/crumbs",100,9,1.20
"Bacon lean prepared",30,8,1.50
"Chicken fillet prepared",125,9,1.20
"Onions fried in vegetable oil",30,7,0.50
"Rye bread wholemeal/rye wheat bread brown av",50,6,0.50
"Tomatoes stewed w vegetable oil",100,5,0.60
"Kale curly glass",150,4,0.40
"Lettuce iceberg raw",50,9,0.40
"Beef rump steak raw",125,6,2.50
"Beef tenderloin steak raw",125,5,3.50
"Beef prime rib raw",125,4,2.00
"Beef frying steak raw",125,7,2.00
"Minced beef raw",100,9,1.00
"Beef rib raw",125,5,1.80
"Liver ox raw",100,3,0.80
"Beef stewing meat raw",125,7,1.50
"Beef sirloin rolled raw",125,4,2.00
"Beef roast raw",125,5,2.20
"Beef shank raw",125,4,1.50
"Beef rib steak raw",125,5,2.50
"Beef streaked/marbled raw",125,4,1.80
"Beef stewing steak raw",125,7,1.50
"Beef steak tartare raw",100,6,1.50
"Beef tongue raw",100,2,1.50
"Sausage pork Braadworst raw",100,8,1.20
"Pork fillet raw",125,7,1.50
"Pork fricandeau part of leg raw",125,5,1.20
"Pork chop raw",125,8,1.20
"Minced pork raw",100,8,0.90
"Pork tenderloin raw",125,7,1.80
"Pork gammon steak raw",125,5,1.20
"Pork loin chop raw",125,7,1.20
"Pork shoulder chop raw",125,6,1.10
"Liver pork raw",100,3,0.70
"Pork spare rib raw",150,6,1.00
"Pork tenderloin medaillon raw",125,6,1.80
"Pork shoulder raw",125,5,1.00
"Kromesky meat filled raw",80,4,1.20
"Bacon rasher raw",30,7,1.00
"Minced beef/pork raw",100,9,1.00
"Hamburger raw",100,8,1.20
"Veal prime rib raw",125,3,2.50
"Veal olive raw",125,3,2.50
"Veal fricandeau raw",125,3,2.50
"Liver calf's raw",100,2,1.50
"Veal shank raw",125,3,2.00
"Tongue calf raw",100,1,2.00
"Sweetbread raw",100,1,3.00
"Lamb leg raw",125,4,2.00
"Minced lamb raw",100,4,1.50
"Lamb chop raw",125,5,2.20
"Lamb saddle raw",125,2,2.50
"Lamb shoulder raw",125,3,1.80
"Chocolate dark sugar-free",30,3,2.00
"Chocolate milk w hazelnuts wo sugar",30,2,2.00
"Beetroot pickled glass",50,5,0.40
"Potato puree powder av",30,6,0.60
"Chips pre-fried frozen unprepared",150,8,0.30
"Potatoes fried",150,8,0.30
"Seitan seasoned",100,4,1.50
"Wheat currant bread wholemeal",70,5,0.60
"Cake Dutch spiced Ontbijtkoek w ginger",40,6,0.60
"Sesame paste tahin salt added",15,4,1.50
"Juice pineapple",200,5,0.30
"Fruit juice drink minimal 2 fruits",200,7,0.30
"Milk chocolate-flavoured semi-skimmed",200,7,0.25
"Liqueur <15 vol% alcohol",35,4,2.00
"Liqueur >25 vol% alcohol",35,4,2.50
"Beer >7 vol% alcohol",330,7,0.40
"Cream custard",150,6,0.40
"Berliner pastry",70,4,1.00
"Biscuit w chocolate",20,8,1.00
"Butter cream",30,3,1.50
"Doughnut plain",60,5,1.00
"Ice lolly",50,7,0.80
"Eclair w whipped cream filling",80,5,1.50
"Meringue w butter-cream",50,3,1.50
"Biscuits sugar-free",20,4,1.20
"Flan fruit and crumble topping",120,6,1.20
"Cheesecake made w cream cheese",120,6,1.50
"Biscuit Jaffa cakes/Cake PiM's",20,6,1.00
"Rice cakes puffed natural w (sea)salt",15,7,1.00
"Kale curly w mashed potato wo meat prepared",300,8,0.30
"Onions crisp fried ready-to-eat",15,6,1.20
"Hotchpotch carrots/onions wo meat prepared",300,8,0.30
"Sauerkraut w mashed potato wo meat prep",300,8,0.30
"Cheese Brie 60+",30,7,1.60
"Pastry puff cheese filled frozen unprepared",80,6,1.00
"Cheese fresh light 8% fat",30,4,1.20
"Lasagna bolognese ready to eat",350,7,0.60
"Gravy average clear prep wo gravy instant powder",30,7,0.50
"Tart w bread base w veg/egg/cheese",150,6,1.00
"Salad fish",50,5,1.20
"Salad ham and leek",50,4,1.00
"Salad chicken curry",50,6,1.00
"Salad egg",50,8,0.80
"Herb and dried vegetable mix unprepared",5,5,2.00
"Yoghurt half fat",200,6,0.30
"Crisps potato light unflavoured",40,6,1.50
"Eclair cheese cream filled",80,4,1.50
"Fondant cream",20,3,1.50
"Chocolates filled/Belgium chocolate",20,6,2.50
"Muesli bar w chocolate",30,7,1.20
"Schnitzel vegetarian based on soya/wheat unprepared fortified w iron and vit B12",100,7,1.50
"Sauce based on roux prepared",50,6,0.40
"Saus op basis groentenat/melk bereid z vet",50,3,0.30
"Sauce mix packet <3% fat prepared",50,6,0.50
"Sauce mix packet >3% fat prepared",50,6,0.50
"Beer alcohol free <0,1 vol%",330,6,0.30
"Beer low alcohol 0,1-1,2 vol%",330,4,0.30
"Juice drink light",200,6,0.25
"Soft drink light wo caffeine",250,6,0.20
"Cola light soft drink w caffeine",250,8,0.20
"Sauce tomato ready-to-eat jar",100,8,0.40
"Stock from cube prepared",250,8,0.10
"Butter product half fat",15,7,0.80
"Endive raw w mashed potatoes wo meat prepared",300,7,0.30
"Quiche w vegetables/cheese/egg",150,6,1.00
"Beef rump steak prepared",100,6,3.00
"Beef prime rib prepared",100,4,2.50
"Beef frying steak prepared",100,7,2.50
"Minced beef shallow fried",100,9,1.20
"Beef rib prepared",100,4,2.20
"Liver ox prepared",100,2,1.00
"Beef stewing meat prepared",150,7,1.80
"Beef rolled prepared",100,4,2.50
"Beef roast prepared",100,5,2.80
"Beef shank prepared",100,4,1.80
"Beef rib steak prepared",100,5,3.00
"Beef streaked/marbled prepared",100,4,2.20
"Beef stewing steak prepared",150,7,1.80
"Beef steak tartare prepared",100,5,1.80
"Sausage pork Braadworst prepared",100,8,1.50
"Pork fillet prepared",100,6,1.80
"Pork fricandeau part of leg prepared",100,5,1.50
"Pork chop prepared",100,8,1.50
"Minced pork prepared",100,7,1.10
"Pork tenderloin prepared",100,7,2.20
"Pork gammon steak prepared",100,5,1.50
"Pork loin chop prepared",100,7,1.50
"Pork shoulder chop prepared",100,6,1.30
"Liver pork prepared",100,2,0.90
"Pork spare rib prepared",100,6,1.20
"Pork tenderloin medaillon prepared",100,6,2.20
"Pork shoulder prepared",100,5,1.20
"Kromesky meat filled prepared",80,4,1.50
"minced meat ball beef/pork w egg prepared",100,9,1.20
"Hamburger prepared",100,8,1.50
"Veal prime rib prepared",100,3,3.00
"Veal olive prepared",100,3,3.00
"Veal fricandeau prepared",100,3,3.00
"Liver calf's prepared",100,2,1.80
"Veal shank prepared",100,3,2.50
"Lamb leg prepared",100,4,2.50
"Minced lamb prepared",100,4,1.80
"Lamb chop prepared",100,5,2.80
"Lamb saddle prepared",100,2,3.00
"Lamb shoulder prepared",100,3,2.20
"Mussels fried in vegetable oil",150,5,1.50
"Squid rings deep-fried in vegetable oil",100,5,1.50
"Halibut smoked",50,3,3.50
"Mackerel fillet smoked",100,6,1.80
"Salmon farmed raw",125,7,2.50
"Anchovy in oil canned",15,5,2.00
"Tuna in oil tinned",100,7,1.50
"Tuna in water tinned",100,7,1.50
"Chilli con carne bean dish",250,7,0.60
"Fructose powder",10,2,0.80
"Minced beef ball prepared wo egg",100,6,1.20
"Kippers steamed",100,2,1.50
"Sprat fillet smoked",50,2,2.00
"Mackerel prepared in microwave oven no ingredients added",100,4,1.50
"Mackerel in oil tinned",100,4,1.20
"Salmon farmed prep in microwave oven no ingredients added",125,6,2.50
"Trout prepared in microwave oven no ingredients added",125,3,1.80
"Rainbow trout prepared in microwave oven no ingredients added",125,3,1.80
"Cod prepared in microwave oven no ingredients added",125,5,2.50
"Haddock prepared in microwave oven no ingredients added",125,4,2.50
"Pollack (Atlantic) prep in microwave oven no ingredients added",125,4,1.50
"Whiting prepared in microwave oven no ingredients added",125,3,1.80
"Plaice prepared in microwave oven no ingredients added",125,4,2.00
"Schar/tongschar bereid in magnetron z toev",125,2,2.00
"Sole prepared in microwave oven no ingredients added",125,4,3.00
"Flounder prepared in microwave oven no ingredients added",125,2,1.80
"Gurnard prepared in microwave oven no ingredients added",125,2,2.00
"Ocean perch prepared in microwave oven no ingredients added",125,3,2.00
"Wolf fish prepared in microwave oven no ingredients added",125,2,2.50
"Eel prepared in microwave oven no ingredients added",100,2,3.50
"Paling zee- bereid in magnetron z toev",100,2,3.50
"Soft/hard roe fried",50,1,1.50
"Soft/hard roe from fat bloater",50,1,1.50
"Spawn/hard roe coloured glass",30,1,2.00
"Mussels pickled glass",50,4,1.50
"Shrimps in water tinned",50,5,3.00
"Squid prepared in microwave oven no ingredients added",100,3,1.50
"Chicken w skin prepared",125,7,1.20
"Chicken fillet raw",150,9,1.00
"Chicken wo skin prepared",125,9,1.20
"Chicken rolled prepared",100,4,1.50
"Chicken rolled raw",125,4,1.20
"Chicken nuggets prepared in oven",100,7,1.00
"Chicken nuggets prepared in frying fat",100,7,1.00
"Chicken burger breaded prepared",100,6,1.20
"Pork steak/chop prepared",100,8,1.50
"Pork rib chop prepared",100,7,1.50
"Cheese goat fresh",30,5,1.80
"Syrup barley malt",15,2,1.00
"Syrup corn",15,2,0.80
"Syrup rice malt",15,2,1.00
"Fruit juice concentrated",20,6,0.60
"Juice carrot",200,3,0.30
"Juice sauerkraut",200,1,0.30
"Beef <5% fat raw av",125,7,2.50
"Beef >5% fat raw av",125,7,2.00
"Beef <10% fat prepared av",100,7,3.00
"Beef >10% fat prepared av",100,7,2.50
"Pork <5% fat raw av",125,7,1.50
"Pork 5-14% fat raw av",125,8,1.20
"Pork >15% fat raw av",125,6,1.00
"Pork <10% fat prepared av",100,7,1.80
"Pork 10-19% fat prepared av",100,8,1.50
"Pork >19% fat prepared av",100,6,1.20
"Veal <5% fat raw av",125,3,2.50
"Veal >5% fat raw av",125,3,2.20
"Lamb >10 g fat raw av",125,4,2.00
"Meat av raw <5% fat excl liver",125,8,2.00
"Meat av raw >5% fat excl liver",125,8,1.50
"Potatoes sliced frozen deep-fried in vegetable oil",150,8,0.30
"Chips oven frozen prepared in oven",150,8,0.35
"Potato croquettes frozen prepared",100,6,0.40
"Toddler formula Nutrilon 2 p 100 ml",100,1,0.50
"Biscuits & snacks cheesy",30,7,1.00
"Milk semi-skimmed fortified w calcium",200,4,0.20
"Custard several flavours full fat",150,6,0.35
"Yoghurt vanilla half fat",200,7,0.30
"Porridge semolina",200,4,0.25
"Cheese 20+",30,6,1.20
"Cheese 50+",30,7,1.50
"Cheese Dutch in Swiss-style 45+",30,5,1.50
"Cheese 40+ Leiden w cumin/Fries clove",30,4,1.50
"Infant food fruit 12 months",150,1,1.50
"Infant food meal 18 months",200,1,1.20
"Liver pate/Berliner liver sausage",30,6,1.00
"Pork fricandeau fried (processed meat product)",30,6,1.50
"Brawn, pork pickled in vinegar",30,3,1.00
"Sausage tongue",30,2,1.50
"Bacon rasher streaky grilled",30,7,1.50
"Ham lean grilled",30,7,1.50
"Gammon boiled deboned",50,5,1.50
"Crispbread wholemeal",20,8,0.70
"Pork rib chop raw",125,7,1.20
"Pork schnitzel not breaded prepared",100,6,1.80
"Pork schnitzel not breaded raw",125,6,1.50
"Cream whipped w sugar canned",20,7,0.80
"Dfr Modifast Intensive Muesli",50,2,3.00
"Crispbread Sandwich Wasa",30,6,1.00
"Sauce oriental ready-to-eat jar/bag",100,6,0.60
"Creme fraiche",30,7,0.80
"Cheese 45+",30,7,1.40
"Fruit drink concentrate Karvan Cevitam",20,8,0.60
"Beans long yard Kousenband boiled",150,5,0.60
"Nectarine",120,7,0.40
"Milk based drink Yakult original",65,6,0.60
"Yoghurt drink Vifit fruit",200,6,0.35
"Salad cucumber",50,6,0.60
"Salad meat",50,6,0.80
"Fruit juice drink Roosvicee Multivit",200,6,0.30
"Seasoning flavoured powder low sodium",5,3,1.50
"Stock powder low sodium",5,3,1.20
"Water av",250,9,0.00
"Mango chutney",15,4,1.00
"Dates fresh",30,4,1.50
"Carambola",50,2,2.00
"Couscous unprepared",75,7,0.40
"Barley whole grain raw",50,2,0.40
"Horse-radish raw",10,2,1.50
"Cabbage pak-choi raw",150,5,0.50
"Cheese Bel Paese",30,3,1.80
"Beans kidney red dried",75,5,0.40
"Pecan nuts unroasted unsalted",30,6,2.50
"Pistachio nuts salted",30,7,2.00
"Seaweed kelp raw",15,2,2.50
"Seaweed agar agar dried",5,2,5.00
"Coquilles scallop shell St. Jacques raw",100,3,4.00
"Goat meat raw av",125,2,2.00
"Kidney pork raw",100,1,1.00
"Kidney ox raw",100,1,1.00
"Kidney lamb raw",100,1,1.20
"Vegetables av boiled",200,9,0.35
"Vegetables av raw",150,8,0.40
"Fruit fresh av including citrus",150,8,0.40
"Processed meat prod excl liver av",30,8,1.20
"Processed meat prod <10 g fat excl liver av",30,7,1.50
"Sausage excl liver products av",30,7,1.20
"Processed meat prod 20-30 g fat excl liver av",30,7,1.20
"Processed meat prod >30 g fat excl liver av",30,6,1.50
"Sauce Chinese soursweet home-made",50,6,0.50
"Peanut sauce homemade w water w fat",50,7,0.50
"Dough for pizza and savoury pie unprepared",100,6,0.50
"Eclair wo filling",30,3,1.00
"Cream whipped w added sugar",30,8,0.80
"Flan bottom Limburg",80,5,1.00
"Juice orange w pulp",200,7,0.25
"Juice tomato/vegetable Appelsientje Tomatientje",200,4,0.30
"Juice tomato Appelsientje Zontomaat",200,3,0.30
"Nuts mixed salted",30,8,1.50
"Turkey fillet raw",125,6,1.50
"Crisps tortilla unflavoured",40,7,1.00
"Peanut sauce packet prepared",50,8,0.50
"Cheese Gorgonzola",30,5,1.80
"Japanese rice cracker mix w peanuts",30,7,1.20
"Bun w vanilla custard",70,5,1.00
"Plant-based alternative to fruit/vanilla yoghurt based on soya sweetened fortified w calcium and vitamins",200,6,0.35
"Cheese Mozzarella made from cow's milk",50,7,1.20
"Low fat spread Becel pro-activ",15,6,1.00
"Custard of milk and whipped cream",150,6,0.40
"Porrdige buttermilk groats",200,3,0.25
"Low fat margarine prod Blue Band Goede Start",15,7,0.60
"Chocolate sprinkles milk",15,9,0.80
"Chocolate sprinkles dark",15,9,0.80
"Spread chocolate milk",15,7,0.80
"Biscuit Liga Milkbreak milkbiscuit",20,6,1.00
"Cake made w butter",40,7,0.80
"Biscuits assorted w butter av",20,7,0.80
"Toddler formula Nutrilon 3 p 100 ml",100,1,0.50
"Breakfast cereal porridge Olvarit 8 granen 12+ months",30,1,1.50
"Breakfast cereal Frosties Kellogg's",40,5,0.90
"Breakfast cereal Coco pops Kellogg's",40,6,0.90
"Breakfast cereal All-Bran Fruit n Fibre Kellogg's",40,5,0.90
"Breakfast cereal Special K Original Kellogg's",40,6,0.90
"Breakfast cereal Smacks Kellogg's",40,5,0.90
"Breakfast cereal Honey pops Loops Kellogg's",40,5,0.90
"Tart fruit w shortbread base",120,6,1.50
"Sponge cake w fruit",100,6,1.20
"Dfr Modifast Intensive Pudding",50,2,3.00
"Dfr Modifast Intensive Milkshake",50,2,3.00
"Sports food Isostar Actifood",90,2,2.50
"Sports food Isostar power tabs",12,2,3.50
"Minced meat vegetarian based on mycoprotein unprepared",100,5,1.80
"Pieces/chunks vegetarian based on mycoprotein unprepred",100,5,1.80
"Sports drink AA Isotone",330,6,0.30
"Sports drink hypertone w carbohydrates",330,5,0.30
"Minced meat vegetarian based on soya unprepared",100,7,1.50
"Peanuts dry roasted",30,8,0.80
"Rice multi-grain raw",75,4,0.40
"Breakfast cereal Brinta Wake Up breakfastdrink",50,4,0.60
"Infant food meal 12 months",200,1,1.20
"Infant food fruit 6 months",150,1,1.50
"Lamb <10 g fat raw av",125,4,2.20
"Mutton <10g fat raw av",125,2,1.80
"Low fat margarine 40% fat <17 g sat fa salted",15,7,0.60
"Low fat margarine prod 35% fat <10 g sat fa unsalted",15,6,0.60
"Margarine 80% fat >24 g sat fa salted",15,7,0.50
"Cooking fat liquid 97% fat <17 g sat fa salted",15,8,0.60
"Cooking fat solid 97% fat >17 g sat fa salted",15,6,0.50
"Frying fat liquid",15,7,0.40
"Frying fat solid",15,5,0.40
"Margarine product 60% fat <17 g sat fa unsalted",15,7,0.60
"Margarine liq 80% fat <17 g sat fa salted",15,8,0.60
"Breakfast drink Coolbest FruitOntbijt",200,6,0.30
"Breakfast cereal Cornflakes",40,7,0.60
"Mayonnaise product w olive oil",20,6,0.60
"Ice tea w sugar 5-<7 g CHO",250,8,0.20
"Ice tea light",250,7,0.20
"Ice tea w sugar and sweetener",250,7,0.20
"Ostrich, raw",125,1,3.50
"Chicken drumstick w skin raw",150,8,0.90
"Chips fried in solid frying fat",150,6,0.40
"Chips fried in liquid frying fat",150,8,0.40
"Chips prepared av",150,8,0.40
"Cassava boiled",150,3,0.50
"Taro boiled",150,2,0.60
"Yam boiled",150,2,0.60
"Potato sweet boiled",150,6,0.40
"Pumpkin boiled",150,5,0.30
"Juice drink Dubbelfrisss",200,8,0.25
"Juice drink Tintelfruit w sugar",200,5,0.20
"Juice drink Tintelfruit light",200,5,0.20
"Mineral water w sweetener",250,6,0.15
"Wine white sweet",150,6,0.80
"Juice apple fortified w vitamin C",200,6,0.25
"Japanese rice cracker mix wo peanuts",30,6,1.20
"Pasta wholemeal boiled",200,7,0.35
"Couscous boiled",200,7,0.40
"Millet boiled",150,3,0.40
"Biscuit Cafe noir",20,6,0.80
"Crisps maize Bugles",40,7,1.20
"Crisps based on potato dough",40,7,1.20
"Pine nuts",15,7,3.50
"Basil fresh",5,7,2.50
"Pesto green",20,8,1.50
"Brownie w nuts",50,6,1.20
"Infant formula Hero Baby Standaard 1 p 100 ml",100,1,0.50
"Toddler formula Hero Baby Standaard 2 p 100 ml",100,1,0.50
"Toddler formula Hero Baby Standaard 3 p 100 ml",100,1,0.50
"Sports drink Extran Energy",330,6,0.30
"Sports drink Extran Hydro",330,5,0.30
"Biscuit baby/toddler Bolletje",15,1,1.00
"Biscuit filled",20,7,0.80
"Biscuit w chocolate layer Scholiertje",20,7,1.00
"Cracker VitaLU",20,6,0.80
"Rice cakes puffed w chocolate",20,6,1.00
"Biscuit fruit",20,7,0.90
"Cake Dutch spiced Ontbijtkoek w raisin",40,6,0.60
"Cereal bar Hero B'tween",30,6,1.20
"Cereal bar wo sugar",30,5,1.20
"Cereal bar Special K Kellogg's",30,5,1.20
"Cereal bar w milk Kellogg's",30,5,1.20
"Muesli bar",30,7,1.00
"Milk goats- full fat",200,3,0.30
"Yoghurt snack Breaker",200,6,0.40
"Yoghurt cream- w fruit",150,7,0.40
"Quark low fat w fruit/vanilla w sweetener",150,7,0.40
"Quark w fruit Danoontje",50,6,0.80
"Ice lolly Festini",50,8,0.80
"Ice cream dairy w chocolate coating",80,8,1.00
"Ice cream dairy w fruitcoating",80,6,1.00
"Yoghurt drink w sweetener",200,7,0.30
"Yoghurt drink Fristi w sweetener",200,7,0.30
"Breakfast drink Goede Morgen Vifit",200,6,0.35
"Yoghurt drink Actimel plain",100,6,0.60
"Drink soya Groeidrink 1-3+ Alpro",200,1,0.35
"Plant-based alternative to cream based on soya",30,5,0.80
"Cheese 10+",30,3,1.50
"Milk based drink Yakult Balance",65,5,0.60
"Chocolate white",30,7,1.20
"Custard no fat w sweetener",150,5,0.30
"Creme fraiche half fat",30,6,0.80
"Pasta gluten free raw",100,4,0.60
"Fatless sponge",50,4,0.80
"Cream cooking",30,7,0.60
"Cream cooking light",30,6,0.60
"Yoghurt full fat w cereal/muesli Activia",200,6,0.40
"Cream type product Blue Band Finesse voor koken",30,6,0.60
"Fruit drink conc w sugar and sweetener 40-45 g CHO",20,6,0.50
"Fruit drink concentrate light",20,7,0.50
"Coconut milk",50,7,0.60
"Candy sugar-free",20,6,1.20
"Tomatoes tinned",100,9,0.25
"Pollack (Atlantic) raw",125,5,1.50
"Tuna raw",125,6,2.50
"Sole raw",125,4,3.50
"Tilapia raw",125,7,1.50
"Sausage smoked lean cooked",100,6,1.50
"Sausage smoked beef cooked",100,5,1.80
"Sausage frankfurter lean tinned",70,6,1.00
"Sausage cooked lean",30,6,1.20
"Salami sausage saveloy lean",30,6,1.50
"Sausage luncheon meat lean",30,5,1.00
"Yoghurt drink Becel pro-activ",100,4,0.80
"Breezer",275,5,0.60
"Roti Surinam pancake",100,6,0.80
"Beef salted cooked Surinam",50,4,2.00
"Peas split yellow boiled",150,5,0.30
"Tannia prepared wo fat",150,1,0.80
"Tannia leaves prepared wo fat",100,1,1.00
"Brown beans w rice Surinam",250,5,0.40
"Roti w white flour and potato",150,6,0.60
"Sauce w yellow split peas Dahl Surinam",100,4,0.50
"Casserol w tannia Pom Surinam",200,4,1.00
"Dish w veg and meat Moksi-alesi Surinam",250,4,0.80
"Potatoes mashed instant prep w s-sk milk",200,6,0.30
"Potatoes mashed instant prepared w water",200,5,0.25
"Potatoes mashed fresh prep w s-sk milk wo fat",200,8,0.20
"Potatoes boiled w skin av",200,6,0.20
"Potato croquettes frozen unprepared",100,7,0.35
"Cake Dutch spiced Ontbijtkoek less sugar",40,6,0.60
"Bami vegetables boiled",200,7,0.40
"Minced meat raw av",100,9,1.00
"Minced meat ball beef/pork raw w egg/brcrumbs",100,9,1.20
"Meat av raw excl liver",125,8,1.50
"Beef av raw",125,8,2.00
"Minced beef ball raw w egg and breadcrumbs",100,8,1.20
"Beef olives raw",125,6,1.80
"Pork schnitzel breaded raw",125,8,1.50
"Chicken fillet breaded raw",125,8,1.50
"Chicken fillet in batter raw",125,6,1.50
"Jelly",100,4,0.50
"Pork filled w ham and cheese raw",125,7,1.80
"Peanuts sugar coated",30,6,1.00
"Lettuce av raw",50,9,0.40
"Tortellini boiled",200,7,0.50
"Wheat bread wholemeal av fine and coarse w pumpkin seeds",70,7,0.50
"Multigrain bread av white and brown w seeds w extra linseed",70,6,0.50
"Multigrain bread av white and brown w seeds",70,8,0.45
"Wheat bread white av milk/water based",70,8,0.35
"Wheat currant bread white w almond paste",70,6,0.80
"Wheat muesli bread brown/wholemeal",70,6,0.50
"Wheat nut bread wholemeal ",70,5,0.60
"Wheat sugar bread white",70,5,0.60
"Wheat baguette white w cheese and onion",70,6,0.60
"Wheat bread wholemeal av fine and coarse w sunflower seeds",70,8,0.45
"Wheat bread white av milk/water based w sunflower seeds",70,6,0.40
"Wrap/tortilla wheat white",60,8,0.50
"Rice cakes puffed w caramel",15,6,1.20
"Sausage Dutch Frikandel frozen unprep",85,8,0.60
"Minced meat w ham and cheese raw",125,6,1.50
"Chicken schnitzel breaded raw",125,8,1.50
"Chicken cordon bleu raw",125,8,1.80
"Peanut butter light",15,5,0.70
"Breadsticks",20,6,1.00
"Cocktail snacks based on corn",30,7,1.20
"Tiramisu",100,7,1.50
"Raisins coated w milkchocolate",30,6,1.20
"After eight chocolate mints",15,5,2.00
"Chocolate milk w raisins",30,6,1.20
